open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2018,Appeal - Front Yard Parking,37,59,37,In Favour
2018,Front Yard Parking,86,200,87,In Favour
2018,Front Yard Parking,33,183,37,In Favour
2018,Front Yard Parking,29,75,32,In Favour
2018,Front Yard Parking,28,128,28,In Favour
2018,Permit Parking,11,19,11,In Favour
2018,Front Yard Parking,28,58,28,In Favour
2018,Front Yard Parking,48,104,54,In Favour
2018,Appeal - Front Yard Parking,8,42,9,In Favour
2018,Front Yard Parking,9,43,9,In Favour
2018,Commercial Boulevard Parking,11,63,19,In Favour
2018,Traffic Calming,23,55,33,In Favour
2018,Appeal - Front Yard Parking,28,86,43,In Favour
2018,Front Yard Parking,34,103,39,In Favour
2018,Front Yard Parking,43,104,48,In Favour
2018,Traffic Calming,107,202,123,In Favour
2018,Appeal - Front Yard Parking,22,75,23,In Favour
2018,Appeal - Front Yard Parking,31,64,31,In Favour
2018,Front Yard Parking,8,16,8,In Favour
2018,Traffic Calming,72,136,86,In Favour
2018,Appeal - Front Yard Parking,32,56,32,In Favour
2018,Front Yard Parking,33,85,33,In Favour
2018,Appeal - Front Yard Parking,23,75,50,Opposed
2018,Appeal - Front Yard Parking,31,74,33,In Favour
2018,Front Yard Parking,67,131,68,In Favour
2018,Front Yard Parking,31,145,37,Opposed
2018,Traffic Calming,49,104,53,In Favour
2018,Traffic Calming,74,157,89,In Favour
2018,Boulevard Cafe,40,159,43,In Favour
2018,Front Yard Parking,31,55,31,In Favour
2018,Front Yard Parking,23,84,25,In Favour
2018,Traffic Calming,77,196,97,In Favour
2018,Front Yard Parking,16,60,27,In Favour
2018,Front Yard Parking,43,95,48,In Favour
2018,Front Yard Parking,28,64,30,In Favour
2018,Front Yard Parking,28,63,28,In Favour
2018,Traffic Calming,37,154,89,Opposed
2018,Traffic Calming,100,277,124,In Favour
2018,Permit Parking,46,94,55,In Favour
2018,Front Yard Parking,48,115,49,In Favour
2018,Front Yard Parking,35,84,38,In Favour
2018,Front Yard Parking,33,76,34,In Favour
2018,Front Yard Parking,14,90,23,Opposed
2018,Front Yard Parking,35,92,35,In Favour
2018,Front Yard Parking,38,99,43,In Favour
2018,Front Yard Parking,39,117,40,In Favour
2018,Boulevard Cafe,5,66,40,Opposed
2018,Front Yard Parking,40,112,44,In Favour
2018,Boulevard Cafe,38,125,41,In Favour
2018,Front Yard Parking,47,85,50,In Favour
2018,Traffic Calming,10,17,10,In Favour
2018,Front Yard Parking,46,117,46,In Favour
2018,Front Yard Parking,18,54,22,In Favour
2018,Appeal - Front Yard Parking,15,55,25,In Favour
2018,Traffic Calming,60,198,106,Opposed
2018,Front Yard Parking,35,86,43,In Favour
2018,Front Yard Parking,13,30,15,In Favour
